MunAno,Municipio,Ano,AreaGoverno,ValorDespesa,ValorReceita,PGasto,IndiceColetaEsgoto,IndiceTratamentoEsgoto,IndiceEsgotoTratado,IndiceAtendimentoAgua,TaxaMortalidadeInfanciaMilNascidosVivos,ObitosPopulacao60AnosMais,TaxaMortalidadeMilHabitantes,TaxaMortalidadeInfantilMilNascidosVivos,TaxaMortalidadeMulheresIdadeFértilCemMilMulheres,NascidosMortos,TaxaNatalidadeMilHabitantes,TaxaFecundidadeMilMulheres,LeitosInternaçãoMilHabitantes,LeitosSUSMilHabitantes,IndiceEnvelhecimento,IndiceQualidadeAterroResíduos,IndiceAtendimentoAgua,IndiceColetaEsgoto,IndiceTratamentoEsgoto
Águas de Lindóia2018,Águas de Lindóia,2018,SANEAMENTO,39849997.05,83007341.68,0.48007798157932763,100.0,60.91,60.91,99.1,5.21,139,9.69,5.21,106.63,1.0,10.57,40.95,2.31,1.65,90.63,9.8,100.0,100.0,60.9
Águas de Lindóia2018,Águas de Lindóia,2018,SAÚDE,64615028.35,83007341.68,0.7784254626427641,100.0,60.91,60.91,99.1,5.21,139,9.69,5.21,106.63,1.0,10.57,40.95,2.31,1.65,90.63,9.8,100.0,100.0,60.9
Altinópolis2014,Altinópolis,2014,SANEAMENTO,12221877.84,67598649.1,0.18080062253788443,80.0,100.0,80.0,87.25,11.3,95,7.96,11.3,121.54,1.0,11.37,43.02,1.99,1.61,88.06,10.0,99.9,80.0,100.0
Altinópolis2014,Altinópolis,2014,SAÚDE,63798966.63,67598649.1,0.9437905561636439,80.0,100.0,80.0,87.25,11.3,95,7.96,11.3,121.54,1.0,11.37,43.02,1.99,1.61,88.06,10.0,99.9,80.0,100.0
Altinópolis2015,Altinópolis,2015,SANEAMENTO,15764336.86,57789657.44,0.2727882039509802,80.79,100.0,80.79,87.37,10.53,83,7.07,10.53,97.51,,12.21,46.32,1.99,1.61,93.21,10.0,100.0,80.8,100.0
Altinópolis2015,Altinópolis,2015,SAÚDE,51721112.91,57789657.44,0.8949890897640178,80.79,100.0,80.79,87.37,10.53,83,7.07,10.53,97.51,,12.21,46.32,1.99,1.61,93.21,10.0,100.0,80.8,100.0
Altinópolis2016,Altinópolis,2016,SANEAMENTO,12520283.71,66824807.72,0.18735981646906863,76.47,100.0,76.47,87.26,11.43,92,7.9,11.43,122.61,1.0,11.25,42.91,1.99,1.61,96.76,10.0,99.9,76.5,100.0
Altinópolis2016,Altinópolis,2016,SAÚDE,58575318.58,66824807.72,0.8765504994108496,76.47,100.0,76.47,87.26,11.43,92,7.9,11.43,122.61,1.0,11.25,42.91,1.99,1.61,96.76,10.0,99.9,76.5,100.0
Altinópolis2017,Altinópolis,2017,SANEAMENTO,10026125.86,65867139.91,0.152217416358135,82.91,100.0,82.91,87.37,33.52,107,8.81,22.35,123.58,2.0,11.51,44.24,1.99,1.61,100.62,10.0,100.0,82.9,100.0
Altinópolis2017,Altinópolis,2017,SAÚDE,46362380.29,65867139.91,0.7038772345869116,82.91,100.0,82.91,87.37,33.52,107,8.81,22.35,123.58,2.0,11.51,44.24,1.99,1.61,100.62,10.0,100.0,82.9,100.0
Altinópolis2018,Altinópolis,2018,SANEAMENTO,14132379.97,68631350.8,0.20591726383447492,82.15,100.0,82.15,87.37,16.22,89,7.46,16.22,74.66,,11.89,46.04,1.99,1.61,104.54,10.0,100.0,82.2,100.0
Altinópolis2018,Altinópolis,2018,SAÚDE,49431436.68,68631350.8,0.7202457201235795,82.15,100.0,82.15,87.37,16.22,89,7.46,16.22,74.66,,11.89,46.04,1.99,1.61,104.54,10.0,100.0,82.2,100.0
Álvares Florence2014,Álvares Florence,2014,SAÚDE,11133875.42,15596351.9,0.7138769047651458,86.67,100.0,86.67,91.86,27.03,30,9.25,27.03,,,9.78,41.39,,,172.69,7.6,98.6,86.7,100.0
Álvares Florence2015,Álvares Florence,2015,SAÚDE,10745952.97,16580795.69,0.6480963381317679,85.35,100.0,85.35,92.58,,16,6.66,,114.03,,7.99,34.21,,,184.77,8.0,99.3,85.4,100.0
Álvares Florence2016,Álvares Florence,2016,SAÚDE,12234024.0,17588180.47,0.6955821280585257,80.0,100.0,80.0,100.0,,22,8.32,,464.04,,9.39,40.6,,,193.23,8.6,100.0,80.0,100.0
Álvares Florence2017,Álvares Florence,2017,SAÚDE,13468249.85,17610689.7,0.7647769666851832,80.03,100.0,80.03,100.0,,33,10.81,,118.91,,8.38,36.86,,,202.39,8.0,100.0,80.0,100.0
Álvares Florence2018,Álvares Florence,2018,SANEAMENTO,18000.0,19485254.88,0.0009237754451175031,80.0,100.0,80.0,67.94,,31,10.07,,242.72,,7.62,33.98,,,212.5,7.5,100.0,80.0,100.0
Álvares Florence2018,Álvares Florence,2018,SAÚDE,15062258.09,19485254.88,0.7730080095313591,80.0,100.0,80.0,67.94,,31,10.07,,242.72,,7.62,33.98,,,212.5,7.5,100.0,80.0,100.0
Americana2014,Americana,2014,SANEAMENTO,351674114.48,607635375.18,0.5787584608217116,45.23,94.68,42.68,100.0,16.36,1137,7.04,14.5,86.51,29.0,12.2,43.91,3.18,1.54,82.56,9.8,100.0,45.2,94.7
Americana2014,Americana,2014,SAÚDE,661949252.4,607635375.18,1.089385640531397,45.23,94.68,42.68,100.0,16.36,1137,7.04,14.5,86.51,29.0,12.2,43.91,3.18,1.54,82.56,9.8,100.0,45.2,94.7
Americana2015,Americana,2015,SANEAMENTO,288542128.95,590846282.34,0.48835397221634647,82.52,96.58,79.6,100.0,11.89,1011,6.23,10.49,74.74,28.0,12.81,46.46,3.13,1.54,86.18,9.8,100.0,82.5,96.6
Americana2015,Americana,2015,SAÚDE,502228587.2,590846282.34,0.8500156507898524,82.52,96.58,79.6,100.0,11.89,1011,6.23,10.49,74.74,28.0,12.81,46.46,3.13,1.54,86.18,9.8,100.0,82.5,96.6
Americana2016,Americana,2016,SANEAMENTO,244471586.11,633841175.1,0.38569849311450954,83.59,44.76,36.84,100.0,7.98,1103,6.48,6.78,74.73,23.0,11.13,40.71,2.84,1.11,89.74,9.5,100.0,83.6,44.8
Americana2016,Americana,2016,SAÚDE,526846656.45,633841175.1,0.8311966422296253,83.59,44.76,36.84,100.0,7.98,1103,6.48,6.78,74.73,23.0,11.13,40.71,2.84,1.11,89.74,9.5,100.0,83.6,44.8
Americana2017,Americana,2017,SANEAMENTO,240208699.89,718565095.52,0.3342894073029939,54.69,80.33,43.68,100.0,9.0,1135,6.56,8.25,90.97,16.0,11.74,43.34,2.51,0.9,93.45,8.3,100.0,54.7,80.3
Americana2017,Americana,2017,SAÚDE,512722353.89,718565095.52,0.7135364034332353,54.69,80.33,43.68,100.0,9.0,1135,6.56,8.25,90.97,16.0,11.74,43.34,2.51,0.9,93.45,8.3,100.0,54.7,80.3
Americana2018,Americana,2018,SANEAMENTO,301821880.05,767853526.65,0.3930722065792833,100.0,54.7,64.56,100.0,12.2,1074,6.31,10.72,73.12,20.0,11.8,43.97,2.49,0.89,97.3,9.8,100.0,100.0,54.7
Americana2018,Americana,2018,SAÚDE,546349412.65,767853526.65,0.7115281674014305,100.0,54.7,64.56,100.0,12.2,1074,6.31,10.72,73.12,20.0,11.8,43.97,2.49,0.89,97.3,9.8,100.0,100.0,54.7
Américo Brasiliense2014,Américo Brasiliense,2014,SANEAMENTO,11921356.25,77059757.21,0.15470274864106337,84.41,0.0,0.0,99.24,15.99,104,4.58,15.99,82.83,3.0,15.27,51.81,5.53,5.53,41.31,10.0,100.0,84.4,
Américo Brasiliense2014,Américo Brasiliense,2014,SAÚDE,61824394.8,77059757.21,0.8022915856264479,84.41,0.0,0.0,99.24,15.99,104,4.58,15.99,82.83,3.0,15.27,51.81,5.53,5.53,41.31,10.0,100.0,84.4,
Américo Brasiliense2015,Américo Brasiliense,2015,SANEAMENTO,30073756.67,80571748.14,0.37325436476498425,84.41,0.0,0.0,99.24,11.19,118,5.01,9.33,63.29,3.0,14.29,48.46,5.49,5.49,43.52,10.0,100.0,84.4,
Américo Brasiliense2015,Américo Brasiliense,2015,SAÚDE,63677859.27,80571748.14,0.7903249059379289,84.41,0.0,0.0,99.24,11.19,118,5.01,9.33,63.29,3.0,14.29,48.46,5.49,5.49,43.52,10.0,100.0,84.4,
Américo Brasiliense2016,Américo Brasiliense,2016,SANEAMENTO,29752694.84,90366344.57,0.32924530677405933,100.0,0.0,0.0,97.96,6.47,135,5.44,6.47,143.83,1.0,12.2,41.71,6.05,6.05,45.37,10.0,98.7,100.0,
Américo Brasiliense2016,Américo Brasiliense,2016,SAÚDE,68557037.7,90366344.57,0.7586567546382718,100.0,0.0,0.0,97.96,6.47,135,5.44,6.47,143.83,1.0,12.2,41.71,6.05,6.05,45.37,10.0,98.7,100.0,
Américo Brasiliense2017,Américo Brasiliense,2017,SANEAMENTO,28743184.2,91000571.15,0.3158571845952639,92.82,0.0,0.0,99.24,15.87,137,5.08,15.87,107.3,1.0,13.07,45.06,5.7,5.7,47.3,10.0,100.0,92.8,
Américo Brasiliense2017,Américo Brasiliense,2017,SAÚDE,75254544.67,91000571.15,0.8269678279925828,92.82,0.0,0.0,99.24,15.87,137,5.08,15.87,107.3,1.0,13.07,45.06,5.7,5.7,47.3,10.0,100.0,92.8,
Américo Brasiliense2018,Américo Brasiliense,2018,SANEAMENTO,16587001.99,101639290.47,0.16319478336869978,82.2,0.0,0.0,100.0,13.39,122,4.6,13.39,71.13,5.0,11.45,39.83,5.06,5.06,49.27,10.0,99.8,82.2,
Américo Brasiliense2018,Américo Brasiliense,2018,SAÚDE,81515314.11,101639290.47,0.8020059342509891,82.2,0.0,0.0,100.0,13.39,122,4.6,13.39,71.13,5.0,11.45,39.83,5.06,5.06,49.27,10.0,99.8,82.2,
Américo de Campos2014,Américo de Campos,2014,SANEAMENTO,1293414.74,18867910.01,0.0685510339679641,99.24,100.0,99.24,83.91,14.49,42,9.26,,207.47,,12.05,47.72,,,112.62,8.7,100.0,99.2,100.0
Américo de Campos2014,Américo de Campos,2014,SAÚDE,16113598.82,18867910.01,0.8540213946038424,99.24,100.0,99.24,83.91,14.49,42,9.26,,207.47,,12.05,47.72,,,112.62,8.7,100.0,99.2,100.0
Américo de Campos2015,Américo de Campos,2015,SANEAMENTO,1451455.13,18618964.99,0.07795573657179963,99.02,100.0,99.02,83.91,,39,7.5,,,,10.29,40.89,,,118.64,9.0,100.0,99.0,100.0
Américo de Campos2015,Américo de Campos,2015,SAÚDE,12438625.11,18618964.99,0.6680621139080836,99.02,100.0,99.02,83.91,,39,7.5,,,,10.29,40.89,,,118.64,9.0,100.0,99.0,100.0
Américo de Campos2017,Américo de Campos,2017,SANEAMENTO,1658913.32,20491660.02,0.08095553597809496,79.82,100.0,79.82,85.47,21.74,39,8.02,,211.27,1.0,8.02,32.39,,,129.4,8.7,99.8,79.8,100.0
Américo de Campos2017,Américo de Campos,2017,SAÚDE,15897800.4,20491660.02,0.7758180832828399,79.82,100.0,79.82,85.47,21.74,39,8.02,,211.27,1.0,8.02,32.39,,,129.4,8.7,99.8,79.8,100.0
Américo de Campos2018,Américo de Campos,2018,SANEAMENTO,1879867.62,23081292.85,0.08144550793652791,83.84,100.0,83.84,85.63,31.25,44,9.42,31.25,71.02,5.0,11.16,45.45,,,135.29,9.2,100.0,83.8,100.0
Américo de Campos2018,Américo de Campos,2018,SAÚDE,17007344.08,23081292.85,0.7368453834248716,83.84,100.0,83.84,85.63,31.25,44,9.42,31.25,71.02,5.0,11.16,45.45,,,135.29,9.2,100.0,83.8,100.0
Amparo2014,Amparo,2014,SANEAMENTO,71271345.26,203635111.23,0.34999536587529384,100.0,27.75,30.83,95.47,6.98,361,7.22,5.81,109.48,9.0,12.74,47.08,5.3,3.6,90.63,9.8,92.6,100.0,27.8
Amparo2014,Amparo,2014,SAÚDE,206389077.72,203635111.23,1.0135240257604174,100.0,27.75,30.83,95.47,6.98,361,7.22,5.81,109.48,9.0,12.74,47.08,5.3,3.6,90.63,9.8,92.6,100.0,27.8
Amparo2015,Amparo,2015,SANEAMENTO,102806313.16,209301696.18,0.49118719549977413,100.0,44.9,47.4,78.7,4.51,395,7.88,3.39,136.53,4.0,13.04,48.39,5.26,3.56,94.45,9.8,100.0,100.0,44.9
Amparo2015,Amparo,2015,SAÚDE,229380418.48,209301696.18,1.0959319616919503,100.0,44.9,47.4,78.7,4.51,395,7.88,3.39,136.53,4.0,13.04,48.39,5.26,3.56,94.45,9.8,100.0,100.0,44.9
Amparo2016,Amparo,2016,SANEAMENTO,87260834.24,230203802.46,0.37905904814566366,86.64,52.21,60.12,78.71,6.31,459,8.7,5.05,120.4,6.0,11.6,43.34,5.79,3.55,98.02,9.5,100.0,86.6,52.2
Amparo2016,Amparo,2016,SAÚDE,224369624.48,230203802.46,0.9746564656289126,86.64,52.21,60.12,78.71,6.31,459,8.7,5.05,120.4,6.0,11.6,43.34,5.79,3.55,98.02,9.5,100.0,86.6,52.2
Amparo2017,Amparo,2017,SANEAMENTO,82994945.78,238573227.06,0.34788038374116126,81.35,54.52,63.7,78.71,6.94,446,8.32,5.78,109.64,10.0,12.61,47.42,5.5,3.27,101.75,8.3,100.0,81.4,54.5
Amparo2017,Amparo,2017,SAÚDE,242776899.89,238573227.06,1.017620052684884,81.35,54.52,63.7,78.71,6.94,446,8.32,5.78,109.64,10.0,12.61,47.42,5.5,3.27,101.75,8.3,100.0,81.4,54.5
Amparo2018,Amparo,2018,SANEAMENTO,55734777.3,255624774.8,0.2180335507135672,87.79,58.16,51.06,78.71,7.24,458,8.44,6.03,76.9,3.0,12.02,45.53,5.56,3.34,105.55,9.8,100.0,87.8,58.2
Amparo2018,Amparo,2018,SAÚDE,272132706.92,255624774.8,1.0645787644523728,87.79,58.16,51.06,78.71,7.24,458,8.44,6.03,76.9,3.0,12.02,45.53,5.56,3.34,105.55,9.8,100.0,87.8,58.2
Analândia2017,Analândia,2017,SANEAMENTO,1579178.34,27901654.02,0.05659801884390222,100.0,100.0,100.0,79.38,18.52,20,5.97,18.52,,,11.5,44.55,,,81.69,10.0,100.0,100.0,100.0
Analândia2017,Analândia,2017,SAÚDE,13940374.36,27901654.02,0.4996253752558,100.0,100.0,100.0,79.38,18.52,20,5.97,18.52,,,11.5,44.55,,,81.69,10.0,100.0,100.0,100.0
Andradina2014,Andradina,2014,SANEAMENTO,1455910.23,128639016.27,0.011317796670212363,80.0,100.0,80.0,93.34,9.75,353,8.66,9.75,75.91,4.0,12.89,49.55,2.42,1.98,93.31,9.5,100.0,80.0,100.0
Andradina2014,Andradina,2014,SAÚDE,90189479.98,128639016.27,0.7011051747372011,80.0,100.0,80.0,93.34,9.75,353,8.66,9.75,75.91,4.0,12.89,49.55,2.42,1.98,93.31,9.5,100.0,80.0,100.0
Andradina2015,Andradina,2015,SANEAMENTO,4394320.11,140446016.52,0.03128832144110142,98.0,100.0,98.0,95.57,8.08,328,8.01,8.08,90.27,3.0,13.32,51.59,2.44,1.97,96.88,8.7,100.0,98.0,100.0
Andradina2015,Andradina,2015,SAÚDE,100232405.46,140446016.52,0.7136721136247146,98.0,100.0,98.0,95.57,8.08,328,8.01,8.08,90.27,3.0,13.32,51.59,2.44,1.97,96.88,8.7,100.0,98.0,100.0
Andradina2016,Andradina,2016,SANEAMENTO,2158740.39,156118667.98,0.013827560905634625,100.0,100.0,100.0,93.34,17.49,350,8.87,14.58,105.01,6.0,12.29,48.03,2.44,1.97,100.0,8.7,100.0,100.0,100.0
Andradina2016,Andradina,2016,SAÚDE,119181501.0,156118667.98,0.7634032658750847,100.0,100.0,100.0,93.34,17.49,350,8.87,14.58,105.01,6.0,12.29,48.03,2.44,1.97,100.0,8.7,100.0,100.0,100.0
Andradina2017,Andradina,2017,SANEAMENTO,2004310.1,150050429.64,0.013357576548156029,100.0,100.0,100.0,93.34,15.11,336,8.79,15.11,155.33,4.0,11.85,46.74,2.43,1.97,103.16,7.4,100.0,100.0,100.0
Andradina2017,Andradina,2017,SAÚDE,127234611.83,150050429.64,0.8479456682347425,100.0,100.0,100.0,93.34,15.11,336,8.79,15.11,155.33,4.0,11.85,46.74,2.43,1.97,103.16,7.4,100.0,100.0,100.0
Andradina2018,Andradina,2018,SANEAMENTO,2117029.55,168321656.83,0.01257728559633974,100.0,99.52,100.0,96.89,12.4,376,8.85,11.02,99.7,2.0,12.98,51.7,2.27,1.63,106.42,8.1,98.6,100.0,99.5
Andradina2018,Andradina,2018,SAÚDE,137574530.06,168321656.83,0.8173311304732835,100.0,99.52,100.0,96.89,12.4,376,8.85,11.02,99.7,2.0,12.98,51.7,2.27,1.63,106.42,8.1,98.6,100.0,99.5
Aparecida2014,Aparecida,2014,SANEAMENTO,31286817.88,104909407.1,0.2982270012276144,86.97,42.14,36.65,100.0,9.4,167,6.97,9.4,154.45,6.0,15.07,54.78,2.95,1.98,70.44,9.6,100.0,87.0,42.1
Aparecida2014,Aparecida,2014,SAÚDE,51692717.26,104909407.1,0.49273672103328475,86.97,42.14,36.65,100.0,9.4,167,6.97,9.4,154.45,6.0,15.07,54.78,2.95,1.98,70.44,9.6,100.0,87.0,42.1
Aparecida2015,Aparecida,2015,SANEAMENTO,38582395.11,107466646.71,0.3590173908944516,85.0,60.0,51.0,100.0,14.58,190,8.03,14.58,124.47,3.0,13.57,49.79,2.94,1.98,73.52,9.5,100.0,85.0,60.0
Aparecida2015,Aparecida,2015,SAÚDE,49139499.71,107466646.71,0.45725349412458655,85.0,60.0,51.0,100.0,14.58,190,8.03,14.58,124.47,3.0,13.57,49.79,2.94,1.98,73.52,9.5,100.0,85.0,60.0
Aparecida2016,Aparecida,2016,SANEAMENTO,47131728.44,120881102.82,0.38990154242869773,64.42,0.0,0.0,100.0,11.7,192,8.3,11.7,188.28,2.0,14.48,53.66,2.94,1.98,76.7,9.6,100.0,64.4,
Aparecida2016,Aparecida,2016,SAÚDE,61667921.62,120881102.82,0.5101535325321083,64.42,0.0,0.0,100.0,11.7,192,8.3,11.7,188.28,2.0,14.48,53.66,2.94,1.98,76.7,9.6,100.0,64.4,
Aparecida2017,Aparecida,2017,SANEAMENTO,45745582.27,119964173.83,0.3813270313087439,61.4,0.0,0.0,98.55,6.04,194,7.07,6.04,52.76,3.0,14.0,52.44,2.93,1.97,80.1,9.8,100.0,61.4,
Aparecida2017,Aparecida,2017,SAÚDE,62903233.93,119964173.83,0.5243501615668985,61.4,0.0,0.0,98.55,6.04,194,7.07,6.04,52.76,3.0,14.0,52.44,2.93,1.97,80.1,9.8,100.0,61.4,
Aparecida2018,Aparecida,2018,SANEAMENTO,56830700.52,132464238.76,0.4290267399865289,64.11,0.0,0.0,98.55,4.6,203,7.98,4.6,53.24,5.0,12.23,46.32,2.92,1.97,83.52,9.2,100.0,64.1,
Aparecida2018,Aparecida,2018,SAÚDE,81110073.96,132464238.76,0.6123167635225384,64.11,0.0,0.0,98.55,4.6,203,7.98,4.6,53.24,5.0,12.23,46.32,2.92,1.97,83.52,9.2,100.0,64.1,
Araçatuba2014,Araçatuba,2014,SAÚDE,420434516.39,411532165.87,1.021632210695317,100.0,100.0,100.0,98.07,8.74,1038,8.16,7.55,127.76,11.0,13.57,49.49,3.32,2.58,90.55,9.6,100.0,100.0,100.0
Araçatuba2015,Araçatuba,2015,SAÚDE,358834180.31,438528682.73,0.8182684381694879,100.0,100.0,100.0,98.07,13.73,1054,7.9,11.71,129.98,16.0,13.28,48.78,3.4,2.56,94.62,9.6,100.0,100.0,100.0
Araçatuba2016,Araçatuba,2016,SAÚDE,355081588.56,481371912.87,0.7376450080831656,100.0,100.0,100.0,98.07,16.22,1144,8.3,13.07,124.76,7.0,11.85,43.94,2.53,1.75,98.0,9.3,100.0,100.0,100.0
Araçatuba2017,Araçatuba,2017,SAÚDE,388758474.76,482918972.85,0.8050180187903959,100.0,100.0,100.0,98.07,13.46,1079,7.94,11.42,83.64,15.0,13.04,48.83,2.55,1.77,101.52,8.8,100.0,100.0,100.0
Araçatuba2018,Araçatuba,2018,SAÚDE,403172196.57,520328282.67,0.7748419795694593,100.0,100.0,100.0,98.07,16.33,1183,8.58,15.49,110.18,14.0,12.64,47.84,1.94,1.61,105.14,9.8,100.0,100.0,100.0
Araçoiaba da Serra2014,Araçoiaba da Serra,2014,SANEAMENTO,5283796.8,73395592.69,0.07199065511081984,25.67,82.64,21.21,96.35,25.71,135,6.44,20.57,75.48,1.0,13.25,48.94,4.29,,68.14,7.4,100.0,25.7,82.6
Araçoiaba da Serra2014,Araçoiaba da Serra,2014,SAÚDE,52648470.32,73395592.69,0.7173246838181504,25.67,82.64,21.21,96.35,25.71,135,6.44,20.57,75.48,1.0,13.25,48.94,4.29,,68.14,7.4,100.0,25.7,82.6
Araçoiaba da Serra2015,Araçoiaba da Serra,2015,SANEAMENTO,5624456.66,76297740.5,0.07371721132423312,32.15,100.0,32.15,96.51,10.59,165,7.52,10.59,86.16,,15.78,58.1,9.63,,71.32,9.5,100.0,32.2,100.0
Araçoiaba da Serra2015,Araçoiaba da Serra,2015,SAÚDE,52991800.36,76297740.5,0.6945395763063259,32.15,100.0,32.15,96.51,10.59,165,7.52,10.59,86.16,,15.78,58.1,9.63,,71.32,9.5,100.0,32.2,100.0
Araçoiaba da Serra2016,Araçoiaba da Serra,2016,SANEAMENTO,9495185.38,84183537.76,0.11279147482575458,26.07,100.0,26.07,96.88,13.27,156,7.57,11.06,158.15,1.0,14.87,54.99,11.55,,73.1,9.3,99.9,26.1,100.0
Araçoiaba da Serra2016,Araçoiaba da Serra,2016,SAÚDE,54172019.88,84183537.76,0.6434989704809003,26.07,100.0,26.07,96.88,13.27,156,7.57,11.06,158.15,1.0,14.87,54.99,11.55,,73.1,9.3,99.9,26.1,100.0
Araçoiaba da Serra2017,Araçoiaba da Serra,2017,SANEAMENTO,7859624.41,91947901.08,0.0854791062947883,32.74,100.0,32.74,97.44,9.2,161,7.16,6.9,60.13,2.0,14.09,52.31,13.31,,75.08,9.2,100.0,32.7,100.0
Araçoiaba da Serra2017,Araçoiaba da Serra,2017,SAÚDE,46590234.5,91947901.08,0.5067025342912809,32.74,100.0,32.74,97.44,9.2,161,7.16,6.9,60.13,2.0,14.09,52.31,13.31,,75.08,9.2,100.0,32.7,100.0
Araçoiaba da Serra2018,Araçoiaba da Serra,2018,SANEAMENTO,6109398.54,93890925.38,0.06506910561669021,33.18,100.0,33.18,97.46,10.84,179,8.0,8.13,142.6,,11.76,43.85,10.23,,76.96,9.0,100.0,33.2,100.0
Araçoiaba da Serra2018,Araçoiaba da Serra,2018,SAÚDE,48292569.63,93890925.38,0.5143475733628988,33.18,100.0,33.18,97.46,10.84,179,8.0,8.13,142.6,,11.76,43.85,10.23,,76.96,9.0,100.0,33.2,100.0
Araraquara2014,Araraquara,2014,SANEAMENTO,249596719.98,627371200.45,0.3978453582200929,84.92,100.0,84.92,97.12,11.27,1178,7.36,10.24,89.04,25.0,13.48,48.29,2.65,1.21,88.51,10.0,99.5,84.9,100.0
Araraquara2014,Araraquara,2014,SAÚDE,645404260.79,627371200.45,1.0287438446761108,84.92,100.0,84.92,97.12,11.27,1178,7.36,10.24,89.04,25.0,13.48,48.29,2.65,1.21,88.51,10.0,99.5,84.9,100.0
Araraquara2015,Araraquara,2015,SANEAMENTO,292930489.47,671356682.44,0.43632616928063356,100.0,100.0,100.0,97.12,11.15,1219,7.67,10.47,124.62,33.0,13.48,48.54,2.32,0.91,91.89,10.0,99.5,100.0,100.0
Araraquara2015,Araraquara,2015,SAÚDE,655631177.27,671356682.44,0.9765765269322311,100.0,100.0,100.0,97.12,11.15,1219,7.67,10.47,124.62,33.0,13.48,48.54,2.32,0.91,91.89,10.0,99.5,100.0,100.0
Araraquara2016,Araraquara,2016,SANEAMENTO,310377365.84,744128120.52,0.4171020517583812,92.01,100.0,92.01,97.12,9.47,1285,7.79,8.01,131.29,18.0,12.41,45.05,2.3,0.85,94.89,10.0,99.5,92.0,100.0
Araraquara2016,Araraquara,2016,SAÚDE,671226756.75,744128120.52,0.9020311667309976,92.01,100.0,92.01,97.12,9.47,1285,7.79,8.01,131.29,18.0,12.41,45.05,2.3,0.85,94.89,10.0,99.5,92.0,100.0
Araraquara2017,Araraquara,2017,SANEAMENTO,320343631.93,762720866.12,0.42000113824026397,100.0,100.0,100.0,96.98,11.9,1228,7.45,10.46,111.68,15.0,12.45,45.54,1.99,0.97,97.99,10.0,99.4,100.0,100.0
